"maintenanceType","phone","blockName","officeNumber","status","description","response","user[0].name","depart[0].departmentName","requestedAt"
"Repair of furniture works","0922960052","kehas","013","Accepted","furniture work",,,"Chemical engineering","2023-06-11T20:28:51.623Z"
"Lighting/electrical maintenance","0922960052","gihon","84","Accepted","chemichal engineering",,,"Chemical engineering","2023-06-11T20:36:50.365Z"
"የውሀ መስመር ጥገና","jkrhf;kj","hrkhr","345","Rejected","rwiygwir",,,"Computer Engineering","2023-06-12T09:01:03.478Z"
"Door/window repair","0922960052","agri","345","Rejected","my door is broken",,,"Computer Engineering","2023-06-12T12:33:13.114Z"
"Repair of furniture works","0922960052","kehas","345","Responsed","my chair is broken","completed","Surafel sanga","Computer Engineering","2023-06-12T14:10:42.486Z"
"Water line maintenance","0922960052","kehas","567","Accepted","asdfghjkl;",,,"Computer Engineering","2023-06-12T19:04:07.414Z"
"Water line maintenance","0922960052","agri","345","Rejected","fhjsdghcjbsjdfbusd",,,"Computer Engineering","2023-06-12T20:06:02.349Z"
"Lighting/electrical maintenance","0922960052","agri","014","Rejected","helooooo",,,"Computer Engineering","2023-06-12T20:14:12.624Z"
"Door/window repair","0922960052","agri","345","Rejected","hgfdsadxfcghgfdsasdfghjgfdsaaSDFGHJHGFDS",,,"Computer Engineering","2023-06-12T20:17:36.486Z"
"Repair of furniture works","0922960052","kehas","44","Accepted","zzzzzzzzzzzzz",,,"Computer Engineering","2023-06-12T21:16:50.634Z"
"Repair of furniture works","3456789","agri","567","Assigned","hihiu",,,"Computer Engineering","2023-06-12T22:03:21.016Z"
"Door/window repair","0922960052","agri","56","Assigned","hi",,"Jona b","ab","2023-06-13T06:46:33.847Z"
"Door/window repair","0922960052","agri","54","Assigned","hi",,"jomba","ab","2023-06-13T06:54:10.808Z"
"Door/window repair","0922960052","kehas","014","Submitted","qwdfghbnm,.,mnhgfdcvbnm,.",,,"acid","2023-08-09T09:09:02.983Z"
